emotion,path
neutral,../data/clean_audios/TESS\OAF_dead_neutral.wav
surprise,../data/clean_audios/TESS\OAF_dead_ps.wav
sadness,../data/clean_audios/TESS\OAF_dead_sad.wav
anger,../data/clean_audios/TESS\OAF_death_angry.wav
anger,../data/clean_audios/TESS\OAF_death_disgust.wav
fear,../data/clean_audios/TESS\OAF_death_fear.wav
joy,../data/clean_audios/TESS\OAF_death_happy.wav
neutral,../data/clean_audios/TESS\OAF_death_neutral.wav
surprise,../data/clean_audios/TESS\OAF_death_ps.wav
sadness,../data/clean_audios/TESS\OAF_death_sad.wav
anger,../data/clean_audios/TESS\OAF_deep_angry.wav
anger,../data/clean_audios/TESS\OAF_deep_disgust.wav
fear,../data/clean_audios/TESS\OAF_deep_fear.wav
joy,../data/clean_audios/TESS\OAF_deep_happy.wav
neutral,../data/clean_audios/TESS\OAF_deep_neutral.wav
surprise,../data/clean_audios/TESS\OAF_deep_ps.wav
sadness,../data/clean_audios/TESS\OAF_deep_sad.wav
anger,../data/clean_audios/TESS\OAF_dime_angry.wav
anger,../data/clean_audios/TESS\OAF_dime_disgust.wav
fear,../data/clean_audios/TESS\OAF_dime_fear.wav
joy,../data/clean_audios/TESS\OAF_dime_happy.wav
neutral,../data/clean_audios/TESS\OAF_dime_neutral.wav
surprise,../data/clean_audios/TESS\OAF_dime_ps.wav
sadness,../data/clean_audios/TESS\OAF_dime_sad.wav
anger,../data/clean_audios/TESS\OAF_dip_angry.wav
anger,../data/clean_audios/TESS\OAF_dip_disgust.wav
fear,../data/clean_audios/TESS\OAF_dip_fear.wav
joy,../data/clean_audios/TESS\OAF_dip_happy.wav
neutral,../data/clean_audios/TESS\OAF_dip_neutral.wav
surprise,../data/clean_audios/TESS\OAF_dip_ps.wav
sadness,../data/clean_audios/TESS\OAF_dip_sad.wav
anger,../data/clean_audios/TESS\OAF_ditch_angry.wav
anger,../data/clean_audios/TESS\OAF_ditch_disgust.wav
fear,../data/clean_audios/TESS\OAF_ditch_fear.wav
joy,../data/clean_audios/TESS\OAF_ditch_happy.wav
neutral,../data/clean_audios/TESS\OAF_ditch_neutral.wav
surprise,../data/clean_audios/TESS\OAF_ditch_ps.wav
sadness,../data/clean_audios/TESS\OAF_ditch_sad.wav
anger,../data/clean_audios/TESS\OAF_dodge_angry.wav
anger,../data/clean_audios/TESS\OAF_dodge_disgust.wav
fear,../data/clean_audios/TESS\OAF_dodge_fear.wav
joy,../data/clean_audios/TESS\OAF_dodge_happy.wav
neutral,../data/clean_audios/TESS\OAF_dodge_neutral.wav
surprise,../data/clean_audios/TESS\OAF_dodge_ps.wav
sadness,../data/clean_audios/TESS\OAF_dodge_sad.wav
anger,../data/clean_audios/TESS\OAF_dog_angry.wav
anger,../data/clean_audios/TESS\OAF_dog_disgust.wav
fear,../data/clean_audios/TESS\OAF_dog_fear.wav
joy,../data/clean_audios/TESS\OAF_dog_happy.wav
neutral,../data/clean_audios/TESS\OAF_dog_neutral.wav
surprise,../data/clean_audios/TESS\OAF_dog_ps.wav
sadness,../data/clean_audios/TESS\OAF_dog_sad.wav
anger,../data/clean_audios/TESS\OAF_doll_angry.wav
anger,../data/clean_audios/TESS\OAF_doll_disgust.wav
fear,../data/clean_audios/TESS\OAF_doll_fear.wav
joy,../data/clean_audios/TESS\OAF_doll_happy.wav
neutral,../data/clean_audios/TESS\OAF_doll_neutral.wav
surprise,../data/clean_audios/TESS\OAF_doll_ps.wav
sadness,../data/clean_audios/TESS\OAF_doll_sad.wav
anger,../data/clean_audios/TESS\OAF_door_angry.wav
anger,../data/clean_audios/TESS\OAF_door_disgust.wav
fear,../data/clean_audios/TESS\OAF_door_fear.wav
joy,../data/clean_audios/TESS\OAF_door_happy.wav
neutral,../data/clean_audios/TESS\OAF_door_neutral.wav
surprise,../data/clean_audios/TESS\OAF_door_ps.wav
sadness,../data/clean_audios/TESS\OAF_door_sad.wav
anger,../data/clean_audios/TESS\OAF_fail_angry.wav
anger,../data/clean_audios/TESS\OAF_fail_disgust.wav
fear,../data/clean_audios/TESS\OAF_fail_fear.wav
joy,../data/clean_audios/TESS\OAF_fail_happy.wav
neutral,../data/clean_audios/TESS\OAF_fail_neutral.wav
surprise,../data/clean_audios/TESS\OAF_fail_ps.wav
sadness,../data/clean_audios/TESS\OAF_fail_sad.wav
anger,../data/clean_audios/TESS\OAF_fall_angry.wav
anger,../data/clean_audios/TESS\OAF_fall_disgust.wav
fear,../data/clean_audios/TESS\OAF_fall_fear.wav
joy,../data/clean_audios/TESS\OAF_fall_happy.wav
neutral,../data/clean_audios/TESS\OAF_fall_neutral.wav
surprise,../data/clean_audios/TESS\OAF_fall_ps.wav
sadness,../data/clean_audios/TESS\OAF_fall_sad.wav
anger,../data/clean_audios/TESS\OAF_far_angry.wav
anger,../data/clean_audios/TESS\OAF_far_disgust.wav
fear,../data/clean_audios/TESS\OAF_far_fear.wav
joy,../data/clean_audios/TESS\OAF_far_happy.wav
neutral,../data/clean_audios/TESS\OAF_far_neutral.wav
surprise,../data/clean_audios/TESS\OAF_far_ps.wav
sadness,../data/clean_audios/TESS\OAF_far_sad.wav
anger,../data/clean_audios/TESS\OAF_fat_angry.wav
anger,../data/clean_audios/TESS\OAF_fat_disgust.wav
fear,../data/clean_audios/TESS\OAF_fat_fear.wav
joy,../data/clean_audios/TESS\OAF_fat_happy.wav
neutral,../data/clean_audios/TESS\OAF_fat_neutral.wav
surprise,../data/clean_audios/TESS\OAF_fat_ps.wav
sadness,../data/clean_audios/TESS\OAF_fat_sad.wav
anger,../data/clean_audios/TESS\OAF_fit_angry.wav
anger,../data/clean_audios/TESS\OAF_fit_disgust.wav
fear,../data/clean_audios/TESS\OAF_fit_fear.wav
joy,../data/clean_audios/TESS\OAF_fit_happy.wav
neutral,../data/clean_audios/TESS\OAF_fit_neutral.wav
surprise,../data/clean_audios/TESS\OAF_fit_ps.wav
sadness,../data/clean_audios/TESS\OAF_fit_sad.wav
anger,../data/clean_audios/TESS\OAF_five_angry.wav
anger,../data/clean_audios/TESS\OAF_five_disgust.wav
fear,../data/clean_audios/TESS\OAF_five_fear.wav
joy,../data/clean_audios/TESS\OAF_five_happy.wav
neutral,../data/clean_audios/TESS\OAF_five_neutral.wav
surprise,../data/clean_audios/TESS\OAF_five_ps.wav
sadness,../data/clean_audios/TESS\OAF_five_sad.wav
anger,../data/clean_audios/TESS\OAF_food_angry.wav
anger,../data/clean_audios/TESS\OAF_food_disgust.wav
fear,../data/clean_audios/TESS\OAF_food_fear.wav
joy,../data/clean_audios/TESS\OAF_food_happy.wav
neutral,../data/clean_audios/TESS\OAF_food_neutral.wav
surprise,../data/clean_audios/TESS\OAF_food_ps.wav
sadness,../data/clean_audios/TESS\OAF_food_sad.wav
anger,../data/clean_audios/TESS\OAF_gap_angry.wav
anger,../data/clean_audios/TESS\OAF_gap_disgust.wav
fear,../data/clean_audios/TESS\OAF_gap_fear.wav
joy,../data/clean_audios/TESS\OAF_gap_happy.wav
neutral,../data/clean_audios/TESS\OAF_gap_neutral.wav
surprise,../data/clean_audios/TESS\OAF_gap_ps.wav
sadness,../data/clean_audios/TESS\OAF_gap_sad.wav
anger,../data/clean_audios/TESS\OAF_gas_angry.wav
anger,../data/clean_audios/TESS\OAF_gas_disgust.wav
fear,../data/clean_audios/TESS\OAF_gas_fear.wav
joy,../data/clean_audios/TESS\OAF_gas_happy.wav
neutral,../data/clean_audios/TESS\OAF_gas_neutral.wav
surprise,../data/clean_audios/TESS\OAF_gas_ps.wav
sadness,../data/clean_audios/TESS\OAF_gas_sad.wav
anger,../data/clean_audios/TESS\OAF_gaze_angry.wav
anger,../data/clean_audios/TESS\OAF_gaze_disgust.wav
fear,../data/clean_audios/TESS\OAF_gaze_fear.wav
joy,../data/clean_audios/TESS\OAF_gaze_happy.wav
neutral,../data/clean_audios/TESS\OAF_gaze_neutral.wav
surprise,../data/clean_audios/TESS\OAF_gaze_ps.wav
sadness,../data/clean_audios/TESS\OAF_gaze_sad.wav
anger,../data/clean_audios/TESS\OAF_germ_angry.wav
anger,../data/clean_audios/TESS\OAF_germ_disgust.wav
fear,../data/clean_audios/TESS\OAF_germ_fear.wav
joy,../data/clean_audios/TESS\OAF_germ_happy.wav
neutral,../data/clean_audios/TESS\OAF_germ_neutral.wav
surprise,../data/clean_audios/TESS\OAF_germ_ps.wav
sadness,../data/clean_audios/TESS\OAF_germ_sad.wav
anger,../data/clean_audios/TESS\OAF_get_angry.wav
anger,../data/clean_audios/TESS\OAF_get_disgust.wav
fear,../data/clean_audios/TESS\OAF_get_fear.wav
joy,../data/clean_audios/TESS\OAF_get_happy.wav
neutral,../data/clean_audios/TESS\OAF_get_neutral.wav
surprise,../data/clean_audios/TESS\OAF_get_ps.wav
sadness,../data/clean_audios/TESS\OAF_get_sad.wav
anger,../data/clean_audios/TESS\OAF_gin_angry.wav
anger,../data/clean_audios/TESS\OAF_gin_disgust.wav
fear,../data/clean_audios/TESS\OAF_gin_fear.wav
joy,../data/clean_audios/TESS\OAF_gin_happy.wav
neutral,../data/clean_audios/TESS\OAF_gin_neutral.wav
surprise,../data/clean_audios/TESS\OAF_gin_ps.wav
sadness,../data/clean_audios/TESS\OAF_gin_sad.wav
anger,../data/clean_audios/TESS\OAF_goal_angry.wav
anger,../data/clean_audios/TESS\OAF_goal_disgust.wav
fear,../data/clean_audios/TESS\OAF_goal_fear.wav
joy,../data/clean_audios/TESS\OAF_goal_happy.wav
neutral,../data/clean_audios/TESS\OAF_goal_neutral.wav
surprise,../data/clean_audios/TESS\OAF_goal_ps.wav
sadness,../data/clean_audios/TESS\OAF_goal_sad.wav
anger,../data/clean_audios/TESS\OAF_good_angry.wav
anger,../data/clean_audios/TESS\OAF_good_disgust.wav
fear,../data/clean_audios/TESS\OAF_good_fear.wav
joy,../data/clean_audios/TESS\OAF_good_happy.wav
neutral,../data/clean_audios/TESS\OAF_good_neutral.wav
surprise,../data/clean_audios/TESS\OAF_good_ps.wav
sadness,../data/clean_audios/TESS\OAF_good_sad.wav
anger,../data/clean_audios/TESS\OAF_goose_angry.wav
anger,../data/clean_audios/TESS\OAF_goose_disgust.wav
fear,../data/clean_audios/TESS\OAF_goose_fear.wav
joy,../data/clean_audios/TESS\OAF_goose_happy.wav
neutral,../data/clean_audios/TESS\OAF_goose_neutral.wav
surprise,../data/clean_audios/TESS\OAF_goose_ps.wav
sadness,../data/clean_audios/TESS\OAF_goose_sad.wav
anger,../data/clean_audios/TESS\OAF_gun_angry.wav
anger,../data/clean_audios/TESS\OAF_gun_disgust.wav
fear,../data/clean_audios/TESS\OAF_gun_fear.wav
joy,../data/clean_audios/TESS\OAF_gun_happy.wav
neutral,../data/clean_audios/TESS\OAF_gun_neutral.wav
surprise,../data/clean_audios/TESS\OAF_gun_ps.wav
sadness,../data/clean_audios/TESS\OAF_gun_sad.wav
anger,../data/clean_audios/TESS\OAF_half_angry.wav
anger,../data/clean_audios/TESS\OAF_half_disgust.wav
fear,../data/clean_audios/TESS\OAF_half_fear.wav
joy,../data/clean_audios/TESS\OAF_half_happy.wav
neutral,../data/clean_audios/TESS\OAF_half_neutral.wav
surprise,../data/clean_audios/TESS\OAF_half_ps.wav
sadness,../data/clean_audios/TESS\OAF_half_sad.wav
anger,../data/clean_audios/TESS\OAF_hall_angry.wav
anger,../data/clean_audios/TESS\OAF_hall_disgust.wav
fear,../data/clean_audios/TESS\OAF_hall_fear.wav
joy,../data/clean_audios/TESS\OAF_hall_happy.wav
neutral,../data/clean_audios/TESS\OAF_hall_neutral.wav
surprise,../data/clean_audios/TESS\OAF_hall_ps.wav
sadness,../data/clean_audios/TESS\OAF_hall_sad.wav
anger,../data/clean_audios/TESS\OAF_hash_angry.wav
anger,../data/clean_audios/TESS\OAF_hash_disgust.wav
fear,../data/clean_audios/TESS\OAF_hash_fear.wav
joy,../data/clean_audios/TESS\OAF_hash_happy.wav
neutral,../data/clean_audios/TESS\OAF_hash_neutral.wav
surprise,../data/clean_audios/TESS\OAF_hash_ps.wav
sadness,../data/clean_audios/TESS\OAF_hash_sad.wav
anger,../data/clean_audios/TESS\OAF_hate_angry.wav
anger,../data/clean_audios/TESS\OAF_hate_disgust.wav
fear,../data/clean_audios/TESS\OAF_hate_fear.wav
joy,../data/clean_audios/TESS\OAF_hate_happy.wav
neutral,../data/clean_audios/TESS\OAF_hate_neutral.wav
surprise,../data/clean_audios/TESS\OAF_hate_ps.wav
sadness,../data/clean_audios/TESS\OAF_hate_sad.wav
anger,../data/clean_audios/TESS\OAF_have_angry.wav
anger,../data/clean_audios/TESS\OAF_have_disgust.wav
fear,../data/clean_audios/TESS\OAF_have_fear.wav
joy,../data/clean_audios/TESS\OAF_have_happy.wav
neutral,../data/clean_audios/TESS\OAF_have_neutral.wav
surprise,../data/clean_audios/TESS\OAF_have_ps.wav
sadness,../data/clean_audios/TESS\OAF_have_sad.wav
anger,../data/clean_audios/TESS\OAF_haze_angry.wav
anger,../data/clean_audios/TESS\OAF_haze_disgust.wav
fear,../data/clean_audios/TESS\OAF_haze_fear.wav
joy,../data/clean_audios/TESS\OAF_haze_happy.wav
neutral,../data/clean_audios/TESS\OAF_haze_neutral.wav
surprise,../data/clean_audios/TESS\OAF_haze_ps.wav
sadness,../data/clean_audios/TESS\OAF_haze_sad.wav
anger,../data/clean_audios/TESS\OAF_hire_angry.wav
anger,../data/clean_audios/TESS\OAF_hire_disgust.wav
fear,../data/clean_audios/TESS\OAF_hire_fear.wav
joy,../data/clean_audios/TESS\OAF_hire_happy.wav
neutral,../data/clean_audios/TESS\OAF_hire_neutral.wav
surprise,../data/clean_audios/TESS\OAF_hire_ps.wav
sadness,../data/clean_audios/TESS\OAF_hire_sad.wav
anger,../data/clean_audios/TESS\OAF_hit_angry.wav
anger,../data/clean_audios/TESS\OAF_hit_disgust.wav
fear,../data/clean_audios/TESS\OAF_hit_fear.wav
joy,../data/clean_audios/TESS\OAF_hit_happy.wav
neutral,../data/clean_audios/TESS\OAF_hit_neutral.wav
surprise,../data/clean_audios/TESS\OAF_hit_ps.wav
sadness,../data/clean_audios/TESS\OAF_hit_sad.wav
anger,../data/clean_audios/TESS\OAF_hole_angry.wav
anger,../data/clean_audios/TESS\OAF_hole_disgust.wav
fear,../data/clean_audios/TESS\OAF_hole_fear.wav
joy,../data/clean_audios/TESS\OAF_hole_happy.wav
neutral,../data/clean_audios/TESS\OAF_hole_neutral.wav
surprise,../data/clean_audios/TESS\OAF_hole_ps.wav
sadness,../data/clean_audios/TESS\OAF_hole_sad.wav
anger,../data/clean_audios/TESS\OAF_home_angry.wav
anger,../data/clean_audios/TESS\OAF_home_disgust.wav
fear,../data/clean_audios/TESS\OAF_home_fear.wav
joy,../data/clean_audios/TESS\OAF_home_happy.wav
neutral,../data/clean_audios/TESS\OAF_home_neutral.wav
surprise,../data/clean_audios/TESS\OAF_home_ps.wav
sadness,../data/clean_audios/TESS\OAF_home_sad.wav
anger,../data/clean_audios/TESS\OAF_hurl_angry.wav
anger,../data/clean_audios/TESS\OAF_hurl_disgust.wav
fear,../data/clean_audios/TESS\OAF_hurl_fear.wav
joy,../data/clean_audios/TESS\OAF_hurl_happy.wav
neutral,../data/clean_audios/TESS\OAF_hurl_neutral.wav
surprise,../data/clean_audios/TESS\OAF_hurl_ps.wav
sadness,../data/clean_audios/TESS\OAF_hurl_sad.wav
anger,../data/clean_audios/TESS\OAF_hush_angry.wav
anger,../data/clean_audios/TESS\OAF_hush_disgust.wav
fear,../data/clean_audios/TESS\OAF_hush_fear.wav
joy,../data/clean_audios/TESS\OAF_hush_happy.wav
neutral,../data/clean_audios/TESS\OAF_hush_neutral.wav
surprise,../data/clean_audios/TESS\OAF_hush_ps.wav
sadness,../data/clean_audios/TESS\OAF_hush_sad.wav
anger,../data/clean_audios/TESS\OAF_jail_angry.wav
anger,../data/clean_audios/TESS\OAF_jail_disgust.wav
fear,../data/clean_audios/TESS\OAF_jail_fear.wav
joy,../data/clean_audios/TESS\OAF_jail_happy.wav
neutral,../data/clean_audios/TESS\OAF_jail_neutral.wav
surprise,../data/clean_audios/TESS\OAF_jail_ps.wav
sadness,../data/clean_audios/TESS\OAF_jail_sad.wav
anger,../data/clean_audios/TESS\OAF_jar_angry.wav
anger,../data/clean_audios/TESS\OAF_jar_disgust.wav
fear,../data/clean_audios/TESS\OAF_jar_fear.wav
joy,../data/clean_audios/TESS\OAF_jar_happy.wav
neutral,../data/clean_audios/TESS\OAF_jar_neutral.wav
