audio_data,emotion
"[7.1846787e-03 2.7312713e-03 9.4053088e-05 ... 2.2393004e-03 2.3303530e-03
 2.3336257e-03]",surprise
[0.05653644 0.06023981 0.06169456 ... 0.02152655 0.02602294 0.02861418],sadness
"[-0.07739537 -0.0719236  -0.05525403 ... -0.06447293 -0.08913186
 -0.09610049]",anger
"[-0.00171832 -0.00163529 -0.00173319 ... -0.00175573 -0.00196247
 -0.00227414]",fear
"[-0.00190183 -0.0105552  -0.00364353 ...  0.00801884  0.00846235
  0.00850087]",joy
"[ 0.00660064 -0.00017689 -0.00327896 ... -0.00868796 -0.01120502
 -0.01314391]",neutral
"[ 0.00519638  0.00237018 -0.00640379 ...  0.01672837  0.01725418
  0.0178255 ]",surprise
"[ 4.5387320e-02  4.5048434e-02  4.3830369e-02 ... -9.2811810e-05
 -1.4081658e-04 -1.8041504e-04]",sadness
"[ 0.00199292 -0.00318907 -0.01633564 ...  0.00578387  0.00551909
  0.00527228]",anger
"[ 0.04345803  0.04444544  0.04465672 ... -0.00491909 -0.00786222
 -0.01097276]",anger
[0.00802781 0.01331943 0.01147866 ... 0.01824226 0.00934173 0.0027599 ],joy
"[ 0.00387542  0.00224958  0.00091641 ... -0.01286918 -0.01494958
 -0.01684424]",neutral
"[-0.00703891 -0.00060369 -0.00153803 ... -0.02059606 -0.02127007
 -0.01969543]",surprise
"[-0.01260142 -0.01610274 -0.0197277  ...  0.02060365  0.02041786
  0.02043107]",sadness
"[-0.00260098 -0.00263118 -0.00265517 ...  0.00250043  0.00234511
  0.00221148]",anger
"[-0.04360388 -0.04731189 -0.0491158  ...  0.06375475  0.05302322
  0.04593319]",anger
"[ 0.01313883 -0.01684997  0.00466209 ... -0.00166611 -0.00151311
 -0.00150164]",joy
"[-0.00468661  0.00159101 -0.00035015 ...  0.00867209  0.00860265
  0.01230849]",neutral
"[ 0.00440905 -0.00944442  0.00192206 ... -0.00266237 -0.00274176
 -0.00267566]",surprise
"[-0.04562446 -0.04754661 -0.04431961 ... -0.0191845  -0.01843718
 -0.01761931]",sadness
"[ 0.00976355  0.0084667   0.00871406 ... -0.04111373 -0.03829892
 -0.02880193]",anger
"[ 0.0005484  -0.00450077 -0.00330635 ...  0.00332346 -0.00533883
 -0.00961125]",joy
"[-0.001412    0.00368661 -0.00235546 ... -0.00355604 -0.00437306
 -0.00471254]",neutral
"[ 0.00646638 -0.00433683  0.0054463  ...  0.01375461 -0.00112497
 -0.0128709 ]",surprise
"[-0.02631873 -0.03076483 -0.03770064 ... -0.02966664 -0.03274808
 -0.03490748]",sadness
"[-0.00204206 -0.0023218  -0.00067383 ...  0.02125842  0.02115307
  0.02026541]",anger
[0.02878236 0.02150542 0.01367475 ... 0.06035899 0.06408732 0.06525366],anger
"[-0.00100687  0.01212465 -0.00884804 ... -0.0270641  -0.02392503
 -0.01838179]",joy
[0.00458556 0.00539457 0.00748047 ... 0.0222899  0.01878215 0.01584947],neutral
"[-0.00557811 -0.00469594  0.00621    ...  0.00733395  0.00762334
  0.00736251]",surprise
"[ 0.00338646  0.00238007  0.00068078 ... -0.02666241 -0.02704224
 -0.02620108]",sadness
"[ 0.08557854  0.07613895  0.06595804 ... -0.008642   -0.00928996
 -0.013256  ]",anger
"[-0.00204157  0.00074816 -0.00107853 ...  0.0132726   0.01461872
  0.015924  ]",fear
"[ 0.02732642  0.02976098  0.0310015  ... -0.02443192 -0.02663539
 -0.03170946]",joy
"[ 0.00554522  0.00782955 -0.00137195 ... -0.02856079 -0.02874621
 -0.02723288]",neutral
"[ 0.00738049 -0.02961906  0.01039984 ... -0.02635769 -0.02063204
 -0.01333425]",surprise
[0.02639853 0.02735583 0.02380499 ... 0.00505854 0.00592675 0.00602062],sadness
"[-0.00135754 -0.00135552 -0.00142751 ... -0.00242816 -0.00247587
 -0.00243623]",anger
"[-0.00445795  0.00107303  0.0043285  ... -0.05061213 -0.05745032
 -0.06252337]",anger
"[-0.05395252 -0.04240301 -0.03965763 ...  0.03782145  0.043957
  0.05136201]",joy
"[ 0.00097047  0.00275737 -0.00521243 ... -0.01522414 -0.01392773
 -0.01509913]",neutral
"[-0.015138   -0.01966073 -0.02624425 ... -0.02147279 -0.01623255
 -0.00806707]",surprise
"[-0.01255766 -0.01597532 -0.02048639 ...  0.01820794  0.01779463
  0.01769952]",sadness
"[-0.00287089 -0.00161882 -0.00705924 ...  0.00350818  0.00339967
  0.0032702 ]",anger
"[-0.02695682 -0.02570968 -0.02275327 ...  0.01728765  0.01552345
  0.01467476]",anger
"[-0.00105873 -0.00192714 -0.00243191 ... -0.00978953 -0.01050556
 -0.01115545]",fear
"[ 0.01584023  0.0129752   0.01506503 ... -0.00675746 -0.01440689
 -0.0187902 ]",joy
"[-0.0015565   0.00282516  0.00059349 ...  0.00401415  0.001015
 -0.00209408]",neutral
"[-0.01875752 -0.0174648  -0.01359994 ...  0.01001296  0.0122711
  0.0148973 ]",surprise
"[-0.0148047  -0.01224126 -0.00992545 ...  0.00840661  0.00806039
  0.0077406 ]",sadness
"[ 0.01013387  0.00132701  0.01618782 ... -0.00199974 -0.00249448
 -0.00222792]",anger
"[ 0.05246475  0.04700842  0.03996475 ... -0.03234201 -0.03673479
 -0.03749042]",anger
"[-0.00382558 -0.01529483  0.01195704 ...  0.00456545  0.00056283
 -0.00429622]",fear
"[-0.03659173 -0.0449966  -0.05144463 ... -0.04494098 -0.04022905
 -0.03585052]",joy
"[ 0.00522953 -0.00206104 -0.00073768 ...  0.00310169  0.01277381
  0.01355999]",neutral
"[ 0.00531328 -0.00281841 -0.00624477 ... -0.05522612 -0.05069941
 -0.03987838]",surprise
"[ 0.04508659  0.04320267  0.04495094 ...  0.00422698  0.00143661
 -0.00212077]",sadness
"[ 0.0007792   0.00031671 -0.00166029 ... -0.00713566 -0.00752843
 -0.00755515]",anger
"[-0.04018755 -0.05175623 -0.05945577 ... -0.03966719 -0.02884706
 -0.00767549]",anger
"[-0.00432082 -0.01115594  0.02290179 ... -0.02257275 -0.02722582
 -0.03235094]",joy
"[-0.00075292 -0.0022333  -0.00309501 ... -0.00872607 -0.00948831
 -0.00939272]",neutral
"[-0.00062768 -0.00638635  0.01753817 ...  0.01214821  0.0117291
  0.01212823]",surprise
"[-0.01956026 -0.02078117 -0.02366346 ...  0.00821902  0.00527101
  0.00395249]",sadness
"[-0.00656626 -0.00448074 -0.00499101 ... -0.00375223 -0.00304702
 -0.00245628]",anger
"[ 0.07863289  0.07766093  0.07820329 ... -0.01240826 -0.01750301
 -0.02517573]",anger
"[ 0.01232355 -0.0010356   0.00211392 ... -0.00137678 -0.00142472
 -0.00190187]",fear
"[-0.00570607  0.00796494 -0.00815091 ...  0.00280165  0.00109884
  0.00280544]",joy
"[-0.0109497  -0.01371721 -0.0169643  ... -0.00510071 -0.00494874
 -0.00604564]",neutral
"[ 9.2355243e-05 -1.2135795e-02 -7.8348229e-03 ...  1.2370015e-02
  1.7647807e-02  2.0172119e-02]",surprise
"[-0.01993774 -0.02731228 -0.03560682 ... -0.00173821  0.00453193
  0.00284753]",sadness
"[-0.01360924 -0.01791424 -0.02122362 ...  0.02506008  0.01457645
  0.00046505]",anger
"[-0.0020471  -0.0027747  -0.00013545 ...  0.0002779   0.00074693
  0.00142874]",fear
"[ 0.0089851   0.00041373 -0.00782624 ...  0.00144585  0.00120527
  0.00081826]",joy
"[ 0.00578356  0.00225379  0.000486   ... -0.00811441 -0.00437768
 -0.0003478 ]",neutral
[0.01764557 0.01396744 0.01198691 ... 0.00028393 0.00021659 0.00038966],surprise
"[ 0.0642521   0.05802047  0.05052416 ... -0.05689256 -0.05318291
 -0.04518795]",sadness
"[-0.07135662 -0.06952956 -0.06489979 ... -0.04811227 -0.04438283
 -0.0357633 ]",anger
"[ 0.00989028 -0.00119019  0.00518093 ... -0.00305189 -0.00289024
 -0.00281399]",fear
"[ 0.00103726 -0.00741599  0.00157513 ...  0.00596401 -0.00112882
 -0.00326286]",joy
"[ 3.6922148e-03  9.5782056e-03 -9.7301364e-04 ... -4.8696087e-03
 -3.6611003e-03  3.4474200e-05]",neutral
"[-0.00073734 -0.00201048  0.00095222 ...  0.00731113  0.00291599
 -0.00234222]",surprise
"[ 0.04627061  0.04062709  0.03728601 ...  0.00172396 -0.00115086
  0.00058372]",sadness
"[-0.00483779 -0.0029166   0.01271541 ...  0.0004473   0.00098168
  0.00083509]",anger
"[-0.01775045 -0.02068639 -0.01970954 ...  0.05957444  0.06806852
  0.07439013]",anger
[0.01790397 0.01543796 0.0230554  ... 0.02813385 0.02112177 0.01401044],joy
"[-0.00208516  0.00346925  0.00121559 ...  0.02036522  0.02003673
  0.01900225]",neutral
"[ 0.02455105  0.02222083  0.02841984 ... -0.0074039  -0.00154297
  0.00664422]",surprise
"[-0.02191987 -0.0288323  -0.03227782 ...  0.00217522  0.01054688
  0.00713523]",sadness
"[ 0.00807488  0.02810441 -0.0067435  ...  0.00162107  0.00191961
  0.0018343 ]",anger
"[-0.03565686 -0.01805042 -0.00239013 ... -0.00252034  0.0036597
  0.00075648]",anger
"[ 0.00074571 -0.00367357  0.01359906 ...  0.00237612  0.00284015
  0.00256131]",fear
"[-0.0414154  -0.04649757 -0.04647323 ... -0.00642864 -0.00618441
 -0.00519401]",joy
"[-0.00308526  0.00408114 -0.00380164 ... -0.01751882 -0.01721964
 -0.01304875]",neutral
"[-0.01364268 -0.0036703   0.00425382 ... -0.00165505 -0.00112123
 -0.00188523]",surprise
"[ 0.03322945  0.03179867  0.02681463 ...  0.00416175  0.00097512
 -0.00272869]",sadness
"[-0.00138622  0.00073132  0.00175803 ...  0.00549417  0.00285626
  0.00487818]",anger
"[-0.03937741 -0.04113352 -0.04445275 ... -0.00344493 -0.00323698
 -0.00519178]",anger
"[ 0.00268375 -0.00061154  0.00029652 ...  0.0033277   0.00381755
  0.00509554]",fear
"[-0.00309524 -0.01311201 -0.00569319 ... -0.00070912 -0.0018599
 -0.00188618]",joy
"[-0.00304858 -0.00148384  0.00115541 ...  0.00066533  0.00016005
  0.00015451]",neutral
"[ 0.04774527  0.04933101  0.05081678 ... -0.01109076 -0.01179642
 -0.01207736]",surprise
[0.02008547 0.02053188 0.02010892 ... 0.00199032 0.00624385 0.01258874],sadness
"[-0.00058114 -0.00050792 -0.00053323 ... -0.00131684 -0.00367851
 -0.0035421 ]",anger
"[ 0.00711634  0.00703594  0.00194131 ... -0.00201937  0.00390049
  0.00515748]",anger
"[-0.00447952 -0.00277052 -0.00270338 ... -0.00552302 -0.00463194
 -0.00421356]",fear
"[ 0.00223542 -0.00431704 -0.01191892 ... -0.00264475 -0.00429862
 -0.00432357]",joy
"[-0.00110867 -0.00255174 -0.00458656 ... -0.0175726  -0.01307123
 -0.00744181]",neutral
"[ 0.01255295  0.001748    0.00015608 ... -0.00240764 -0.00116875
  0.00160991]",surprise
"[-0.00570253 -0.00306635 -0.00060962 ... -0.00025149  0.00276455
  0.00423907]",sadness
"[-0.00012772 -0.00012973 -0.00012106 ...  0.00531111  0.00537731
  0.00547849]",anger
"[ 0.00645047  0.01029173  0.01363242 ... -0.02494075 -0.02057556
 -0.01419835]",anger
"[-0.00139041 -0.00289961 -0.00398629 ...  0.00226084  0.00240345
  0.00241195]",fear
"[ 0.00189177 -0.00297348 -0.01144762 ...  0.01017149  0.00836537
  0.0072579 ]",joy
"[-0.0093315  -0.00113061  0.00306867 ... -0.02104714 -0.02228587
 -0.02351287]",neutral
"[-0.00480992 -0.00755611  0.00828617 ...  0.00682188  0.00794588
  0.00751436]",surprise
[0.030371   0.03051158 0.03222597 ... 0.00120375 0.00130805 0.00125437],sadness
"[-0.00404937 -0.00142423  0.00071734 ...  0.00105883  0.00122461
  0.00123095]",anger
[0.00555536 0.00443754 0.00328544 ... 0.01171525 0.01086282 0.0081966 ],anger
"[-0.00058588 -0.00063632 -0.00073542 ... -0.00333923 -0.00301613
 -0.0024909 ]",fear
"[-0.00219403 -0.0075252   0.0014391  ...  0.01529916  0.01322774
  0.0109374 ]",joy
"[ 0.00114837  0.00448222 -0.00401047 ... -0.00274121 -0.00230723
 -0.0008937 ]",neutral
[0.05052261 0.04842203 0.0505489  ... 0.00907418 0.01239287 0.01417938],surprise
[0.00940751 0.01530692 0.02083624 ... 0.01493323 0.01503095 0.01546688],sadness
"[-0.00714118 -0.00181652  0.00612328 ...  0.0652424   0.06546047
  0.07136117]",anger
"[ 1.2831524e-03  6.2479521e-06 -1.7048775e-03 ... -2.8401322e-04
 -4.9380760e-04 -9.0818678e-04]",fear
[0.03563678 0.03431794 0.02832145 ... 0.00326784 0.01211381 0.01903709],joy
"[-0.00121409  0.00525006  0.0062829  ...  0.03334089  0.03550082
  0.03470545]",neutral
"[ 0.00078567 -0.00985664  0.01621274 ...  0.02096477  0.02044109
  0.02025928]",surprise
"[-0.01141529 -0.01183334 -0.01277227 ... -0.00067611 -0.00064177
 -0.00073587]",sadness
"[-9.9567042e-05 -1.5204740e-04 -1.1974318e-04 ...  3.3190399e-03
  3.2020486e-03  3.1439657e-03]",anger
[0.01082611 0.00970402 0.00921615 ... 0.00446015 0.00442578 0.00332568],anger
"[-0.00204113 -0.00200433 -0.0019164  ... -0.00330408 -0.00358758
 -0.00327249]",fear
"[-0.00112274  0.00512267 -0.01265174 ...  0.01187125  0.01913063
  0.02554104]",joy
"[ 0.00091548  0.00511698  0.0006025  ... -0.02009704 -0.0235218
 -0.02590984]",neutral
"[-0.09065135 -0.09026032 -0.08799888 ...  0.03731494  0.03538327
  0.02829419]",surprise
[0.02993169 0.02539435 0.01830962 ... 0.00068394 0.00071985 0.00077351],sadness
"[ 0.00924124 -0.00405696 -0.00193417 ...  0.00516299  0.00762336
  0.00470833]",anger
"[-0.03910979 -0.04415881 -0.05167489 ... -0.04601526 -0.03943485
 -0.0153774 ]",anger
"[ 0.00618023 -0.00183264 -0.00143455 ... -0.00407915  0.00439705
  0.002122  ]",joy
"[ 0.00324215 -0.00240493 -0.00662097 ... -0.00518552 -0.00757521
 -0.00924755]",neutral
"[-0.00209743 -0.00161959  0.00982527 ... -0.0106203  -0.01113908
 -0.01330969]",surprise
[0.01724033 0.01683766 0.017158   ... 0.0228455  0.02313468 0.02156267],sadness
[0.00720357 0.00352956 0.00335678 ... 0.00151105 0.00158518 0.00156116],anger
"[-0.02369318 -0.02589214 -0.02173142 ...  0.01239753  0.00975544
  0.00637943]",anger
"[ 0.00181038 -0.00337803 -0.0025391  ...  0.00084457  0.00081778
  0.00076152]",fear
"[ 0.00030136 -0.00183252  0.01003312 ...  0.04807685  0.0394702
  0.02955629]",joy
[0.00061731 0.00075266 0.00095921 ... 0.04235692 0.04331966 0.04344221],neutral
[0.01407299 0.00969376 0.0093202  ... 0.00489775 0.00437455 0.00507954],surprise
"[-0.08509277 -0.07784922 -0.07148685 ...  0.00213909  0.00217253
  0.00215643]",sadness
"[-0.00852732  0.00103442  0.0012441  ... -0.00110306  0.00024486
  0.00110674]",anger
[0.05531454 0.05292025 0.04460346 ... 0.01404301 0.00928251 0.00368475],anger
"[-0.00223729 -0.00149313 -0.0026336  ... -0.00660528 -0.00705593
 -0.0075411 ]",fear
"[ 0.00236141 -0.01009701 -0.01336966 ...  0.00390044  0.00298938
  0.00331963]",joy
"[-0.00147806 -0.00116359 -0.00295257 ... -0.00370498 -0.00121641
  0.00116271]",neutral
"[ 0.02057065 -0.00511268  0.00319799 ...  0.00063845  0.00056753
  0.00011636]",surprise
[0.03511275 0.03587906 0.03824537 ... 0.0031394  0.00553728 0.00841533],sadness
"[-0.00785126  0.01041135 -0.00390297 ... -0.01812171 -0.02104517
 -0.01855293]",anger
"[-0.08078613 -0.08527232 -0.08979769 ...  0.01363058  0.00590209
  0.00074015]",joy
[0.00367177 0.00169721 0.00203935 ... 0.0188594  0.01754479 0.01473761],neutral
[0.03874196 0.03038362 0.02072361 ... 0.0529637  0.04945937 0.04396937],surprise
"[-0.03853004 -0.03341095 -0.03345107 ...  0.01270283  0.0121641
  0.0104597 ]",sadness
[0.00182025 0.00194582 0.00234382 ... 0.00220744 0.00230735 0.00235131],anger
[0.06371821 0.05394844 0.04068052 ... 0.0878815  0.09705168 0.11113371],anger
"[-0.00609528  0.00339737  0.00496984 ...  0.00369861  0.00410443
  0.00376711]",fear
"[-0.01652757 -0.01289594 -0.00825254 ...  0.0012126   0.00111615
  0.00091565]",joy
"[ 0.00176123  0.00062837 -0.0005895  ...  0.0035851   0.00433362
  0.00759389]",neutral
[0.02609143 0.02693389 0.02741299 ... 0.0054869  0.00538829 0.00499207],surprise
"[ 0.0144712   0.01379761  0.01167405 ... -0.00725601 -0.00598572
 -0.00392299]",sadness
"[-0.00037456 -0.00333059 -0.00126994 ...  0.00308489  0.00231865
  0.00113818]",anger
"[-0.04687019 -0.0382404  -0.03047038 ...  0.04748455  0.01060457
 -0.0336591 ]",anger
"[-0.00141986  0.00160345  0.00664099 ... -0.00256741  0.00296768
  0.00383201]",fear
"[-0.06035631 -0.06918651 -0.06446582 ... -0.02930554 -0.02035032
 -0.00014248]",joy
"[ 1.2703711e-04 -4.7502625e-03  4.4623433e-05 ...  1.1355516e-02
  1.5039342e-02  1.7960802e-02]",neutral
[0.14748973 0.1511743  0.15036193 ... 0.01900114 0.01663507 0.01464813],surprise
"[-0.04136565 -0.04105351 -0.03924619 ...  0.0076042   0.00900211
  0.01056101]",sadness
[0.00104963 0.00252123 0.00219698 ... 0.00194186 0.00210975 0.00229014],anger
"[ 0.00138153  0.00677002  0.01090188 ...  0.00174585 -0.00241402
 -0.00578866]",anger
"[-8.20875575e-05 -1.02567945e-04 -5.46936935e-05 ... -1.69487408e-04
 -1.07344109e-04  1.79468316e-06]",fear
"[ 0.01219646 -0.01515588  0.00589437 ...  0.02941102  0.04031809
  0.05052724]",joy
"[-0.0058758  -0.00146314  0.00234515 ...  0.0029965   0.00542888
  0.00932474]",neutral
"[-0.02835146 -0.02230156 -0.00599762 ... -0.00060138  0.00415064
  0.00643203]",surprise
"[-0.01529073 -0.0130288  -0.00772327 ...  0.00417337  0.00494762
  0.00496965]",sadness
"[-0.00381373  0.00272338 -0.00392073 ...  0.00222912  0.00217526
  0.00211215]",anger
[0.01392481 0.0076533  0.00953304 ... 0.01164346 0.0166751  0.01840154],anger
"[-0.00153132  0.00307287  0.00574393 ...  0.00227992  0.00221372
  0.0018933 ]",fear
"[-0.00739904 -0.01787791 -0.01250358 ...  0.01127194  0.00176893
 -0.00749342]",joy
"[ 0.00484882 -0.00033532 -0.00533608 ... -0.02426476 -0.02332795
 -0.02005811]",neutral
[0.03093987 0.0423325  0.05243709 ... 0.00201827 0.00134804 0.00373344],surprise
"[-0.01178524 -0.00996417 -0.00480491 ... -0.01583156 -0.02159979
 -0.02459635]",sadness
"[-0.0059746  -0.00819194  0.00149661 ... -0.00103648 -0.00057994
  0.00034516]",anger
"[ 0.05279799  0.05422539  0.05091579 ... -0.01585588 -0.01557367
 -0.01512927]",anger
"[-0.00025507 -0.00010366 -0.00021605 ... -0.00369629 -0.00358133
 -0.00336734]",fear
"[-8.0930011e-05 -1.8846032e-03 -4.1769124e-03 ...  4.0409699e-02
  3.6025725e-02  2.7836867e-02]",joy
"[-0.00202146 -0.0002811  -0.00307857 ...  0.02280715  0.01711407
  0.01045919]",neutral
"[ 0.01067186  0.00859661 -0.00254809 ...  0.00381477  0.00328898
  0.00129559]",surprise
"[-0.03351078 -0.03638257 -0.03871522 ... -0.01426508 -0.01730185
 -0.02020685]",sadness
"[-0.00160522 -0.00167541 -0.00164656 ...  0.00517305  0.00516781
  0.00454159]",anger
"[ 0.04094008  0.04007843  0.04090086 ...  0.00958115 -0.0003649
 -0.00588973]",anger
[0.00028334 0.00034352 0.00035493 ... 0.00885402 0.00765008 0.00546649],fear
"[ 0.01147996 -0.00396408 -0.00669047 ...  0.01506106  0.00942712
  0.00888632]",joy
"[-0.00169993 -0.00509358 -0.01111885 ... -0.02076749 -0.02226204
 -0.02320237]",neutral
"[ 0.01467788 -0.00826623 -0.01412307 ... -0.00399038 -0.00220309
 -0.00638702]",surprise
"[ 0.0224099   0.02282207  0.01850708 ... -0.00158273 -0.00132089
 -0.00100818]",sadness
"[ 0.01684584  0.01304903  0.00563658 ... -0.00628225 -0.00834276
 -0.01040665]",anger
"[ 0.00222119 -0.00410884  0.00269378 ... -0.00788041 -0.01069393
 -0.01358826]",fear
"[-0.00662017 -0.02257523  0.01007567 ...  0.0300358   0.03179534
  0.02376913]",joy
"[ 0.01717177  0.02230027  0.02528598 ...  0.00543208 -0.00031222
 -0.00639842]",neutral
"[-0.00248522 -0.00707998 -0.00611289 ... -0.00636482 -0.00752092
 -0.00988788]",surprise
[0.02489244 0.02195926 0.02150908 ... 0.002167   0.00135899 0.00029466],sadness
"[-0.00230298 -0.00182464 -0.00276057 ...  0.00310958  0.00345735
  0.00343343]",anger
"[7.6471237e-03 5.7068104e-03 9.0435322e-05 ... 2.8077584e-02 2.5465881e-02
 2.2117790e-02]",anger
"[ 0.00396206 -0.00342936 -0.00465175 ...  0.00852107  0.00753841
  0.0078789 ]",fear
"[ 0.00315681  0.00459585  0.00527538 ... -0.02841978 -0.03383917
 -0.03742938]",joy
"[-0.00391139  0.00324872 -0.00191334 ...  0.00173704  0.00422283
  0.00743665]",neutral
"[ 0.0019598   0.00399592  0.01306994 ... -0.0106929  -0.01534056
 -0.0108204 ]",surprise
[0.04089595 0.03673351 0.03725642 ... 0.00241119 0.00438404 0.00391537],sadness
"[-0.00181173 -0.00181967 -0.00189422 ...  0.00451713  0.00356775
  0.00196546]",anger
"[ 0.0337707   0.03864566  0.04016282 ... -0.05381345 -0.03745912
 -0.01840005]",anger
"[ 0.00134048  0.00282396 -0.00405848 ...  0.00163294  0.00172624
  0.00182502]",fear
"[-0.00508112 -0.00871551  0.00859741 ... -0.01091603 -0.00939682
 -0.00806629]",joy
"[ 0.0054262   0.00572334  0.00570912 ... -0.01347873 -0.01904169
 -0.02487951]",neutral
[0.00745156 0.00435077 0.00623387 ... 0.00232219 0.00233409 0.00225931],surprise
"[-0.05553552 -0.05380976 -0.04531235 ... -0.004092   -0.00432561
 -0.00415384]",sadness
"[-0.00162217 -0.00153989 -0.00146154 ... -0.00384703 -0.0038778
 -0.0038228 ]",anger
"[-0.00859415 -0.00400589 -0.01459967 ...  0.03542436  0.02628132
  0.01856276]",anger
"[-0.00024752  0.00143629  0.00311792 ...  0.00196838  0.00202191
  0.0020948 ]",fear
"[ 0.00058307 -0.00486621  0.00062916 ... -0.04084894 -0.0386293
 -0.0347466 ]",joy
[0.00277135 0.00298314 0.00060286 ... 0.00959137 0.01013508 0.01075277],neutral
"[ 0.00345726 -0.0071721   0.00425655 ... -0.03055434 -0.02281671
 -0.01451219]",surprise
"[ 0.03111282  0.03390166  0.03201343 ... -0.00121296  0.00027627
 -0.00023839]",sadness
"[-0.0016075  -0.00350919 -0.0037092  ...  0.00352285  0.00344105
  0.00375834]",anger
"[-0.04326902 -0.0421986  -0.04142948 ... -0.04047247 -0.0212316
 -0.01020065]",anger
[0.00425374 0.0013457  0.00501465 ... 0.00064585 0.00070596 0.00073258],fear
[0.04320708 0.04180256 0.04838144 ... 0.03135505 0.030407   0.02557829],joy
"[-0.00081629  0.00458033  0.00422415 ... -0.0107567  -0.01383963
 -0.01365563]",neutral
"[ 0.01721576  0.02846202  0.0414293  ... -0.05315254 -0.05964531
 -0.05611897]",surprise
[0.03107445 0.02775608 0.02268239 ... 0.00807397 0.00693019 0.00557514],sadness
